,track_name,artist_name,release_date,id_track,genero
196,LOCO,"GIMS, Lossa",2022-12-02,0ksYW1iavv5SwGshxjpLvK,pop
197,Malibu,"Feid, Ak4:20, Taiko",2022-11-11,4TRlBMj8wXsIfEDgWOPyE2,pop
198,DOBLE VIDA,Maria Becerra,2022-12-08,0Dhks7VwA1F7baYPVEeo4S,pop
199,Lady Mi Amor,Feid,2022-09-14,30Xh83fw03PZ2Wfm36H4EZ,pop
200,Los Consejos,Greeicy,2022-03-04,54KqP2AoCRcEMTfooOI5nK,pop
201,Hype Boy,NewJeans,2022-08-01,0a4MMyCrzT0En247IhqZbD,pop
202,die first,Nessa Barrett,2022-10-14,3TfDUStpnEVIlsNlgcKQgJ,pop
203,People Watching,Conan Gray,2022-06-24,3TFoEJe5zNuHZStRboWPxg,pop
204,Santé,Stromae,2022-03-03,3Mcxi78U3lCjt8DMKa6YY4,pop
205,Escapism.,"RAYE, 070 Shake",2022-12-07,2VOZniNxFIDl8ydLltrMNb,pop
206,feel like shit,Tate McRae,2022-05-27,03zuGqxMwUFFmCwusq0WKE,pop
207,Back To You,"Lost Frequencies, Elley Duhé, X Ambassadors",2022-12-09,3K00Ib1shkOEiAXU5pec6e,pop
208,Green Green Grass,George Ezra,2022-06-10,4N5s8lPTsjI9EGP7K4SXzB,pop
209,First Class,Jack Harlow,2022-05-06,0wHFktze2PHC5jDt3B17DC,pop
210,Hurricane,"Ofenbach, Ella Henderson",2022-09-02,3P3i2ratUjex3HJEF8aAVi,pop
211,Costumbres - Vivo,"Damas Gratis, Ke Personajes",2022-10-27,6HT88WDVwEJiHEbPuQ5XcB,pop
212,Locksmith,Sadie Jean,2022-10-07,4HcARAxzsbIB3MqiEkejM6,pop
213,Never Going Home,Kungs,2022-03-18,6ju5Ntn5pYksvkKxVkjEPK,pop
214,Usseewa,Ado,2022-01-26,61KYsWS25JXUO4fGb1138X,pop
215,Attention,NewJeans,2022-08-01,2pIUpMhHL6L9Z5lnKxJJr9,pop
216,better off without me,Matt Hansen,2022-03-04,1Ip5p31SowqjJLo2ss1afJ,pop
217,Burn,David Kushner,2022-09-16,40dfo65kBJa1UgzkD652Gl,pop
218,Nxde,(G)I-DLE,2022-10-17,6NnCWIWV740gP7DQ8kqdIE,pop
219,Spin Bout U,"Drake, 21 Savage",2022-11-04,2ZL7WZcjuYKi1KUDtp4kCC,pop
220,maybe (feat. Bring Me The Horizon),"mgk, Bring Me The Horizon",2022-03-25,25wdC7CJmCJPgnKw9rYquJ,pop
221,TOMBOY,(G)I-DLE,2022-03-14,0IGUXY4JbK18bu9oD4mPIm,pop
222,Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, Jung Kook, BTS",2022-10-06,5Odq8ohlgIbQKMZivbWkEo,pop
223,2 Be Loved (Am I Ready),Lizzo,2022-07-15,2rmwqU7yzTvzkiaRV53DpT,pop
224,Mr. Forgettable,David Kushner,2022-09-16,0c8K5IUrmVlieC0Fc0d8tV,pop
225,Open Arms (feat. Travis Scott),"SZA, Travis Scott",2022-12-09,0xaFw2zDYf1rIJWl2dXiSF,pop
226,MORE,j-hope,2022-07-01,4XKXphKH76W4zNpkgFS5o2,pop
227,All My Love,Noah Kahan,2022-10-14,7ByxizhA4GgEf7Sxomxhze,pop
228,Car's Outside - Sped Up Version,James Arthur,2022-08-26,6OmKbLCskNWi1IcfpZbeJc,pop
229,Qué Prefieres?,"Boza, Beéle",2022-09-22,1YEQ5CvZVK9P4PsZY76GK5,pop
230,POP!,NAYEON,2022-06-24,3lOMJTQTd6J34faYwASc33,pop
231,Northern Attitude,Noah Kahan,2022-10-14,4O2rRsoSPb5aN7N3tG6Y3v,pop
232,Evergreen (You Didn’t Deserve Me At All),Omar Apollo,2022-04-08,2TktkzfozZifbQhXjT6I33,pop
233,Light Switch,Charlie Puth,2022-10-06,1jEBSDN5vYViJQr78W7jr2,pop
234,Suzume,"RADWIMPS, Toaka",2022-11-10,1n1y2kFPISpF9WGD3JaFo5,pop
235,Heavy Metal Love,twocolors,2022-07-08,07VcTAooOBP8hIluuUS5xr,pop
236,Ojos Marrones,Lasso,2022-06-03,7gwT3HGL84vF7bgtwL1N88,pop
237,dying on the inside,Nessa Barrett,2022-02-25,6h1s7cKnUtsbRpE5bwnUTf,pop
238,Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,2022-05-06,0hquQWY3xvYqN4qtiquniF,pop
239,I'm Still in Love with You (feat. Sasha),"Sean Paul, Sasha, Jeremy Harding, Murray Elias",2022-11-11,5lJx5eiSahFfsqkMJVlkDN,pop
240,堕天,Creepy Nuts,2022-09-07,5HPsZwo40KA3GThqBFZFac,pop
241,Pussy & Millions (feat. Travis Scott),"Drake, 21 Savage, Travis Scott",2022-11-04,2KLwPaRDOB87XOYAT2fgxh,pop
242,Dynamite,BTS,2022-06-10,1hIuSG6xV4RDgD8bDVKP7N,pop
243,Sleep Deprivation,Chance Peña,2022-04-01,2A1FGotEDhN5UjBiLsUwnk,pop
244,Ella,Boza,2022-03-11,4177FNDorJz54RrGDbftxU,pop
245,Como la Flor,Ke Personajes,2022-05-28,52yp1caEYyP1w9qFINypd1,pop
246,Solitaire,Werenoi,2022-10-28,3kzXT2poHInDISrXOgT1PR,pop
247,For My Hand (feat. Ed Sheeran),"Burna Boy, Ed Sheeran",2022-07-07,0HaRLPnr887lcQM2YQzkff,pop
248,Tú Me Gustas,"Río Roma, Carin Leon",2022-03-04,30TZy1etY3FAGBDGS58hRj,pop
249,La Buena Fai,Feid,2022-09-14,188Iohmux4LrDaj6e6eeEx,pop
250,Teenage Dream,Stephen Dawes,2022-06-02,3GWaFFi6TlPcZLYmCCHZ9O,pop
251,After LIKE,IVE,2022-08-22,2gYj9lubBorOPIVWsTXugG,pop
252,CALLEJERO FINO | DJ TAO Turreo Sessions #723,"DJ Tao, Callejero Fino",2022-10-20,3fUZbg31mIJKIxuv8nUcGg,pop
253,Shirt,SZA,2022-12-09,2wSTnntOPRi7aQneobFtU4,pop
254,Alone,Burna Boy,2022-11-11,0AoBY2Y3qs6dtGgOD6c91N,pop
255,Talet Lghiba,Mocci,2022-11-25,6KPL5w95G6oYV2MwXvwcXI,pop
256,Peru,"Fireboy DML, Ed Sheeran",2022-08-04,4vb777iaycnlFxVkJMmtfd,pop
257,Last Last,Burna Boy,2022-07-06,57DarSfRMIVRCeDBGW0l5S,pop
258,Balader,"Soolking, Niska",2022-05-26,6PrB4KpvuoYWtwjPC5a44S,pop
259,No Sé Si Salga El Sol - Remix,"Manuel Medrano, Rawayana",2022-11-18,0gw6orix5diJLOahicJhj6,pop
260,Bandana,"Fireboy DML, Asake",2022-08-04,2qWwuCVeMjF9mUT0S5Iqvl,pop
261,Last Last,Burna Boy,2022-07-07,5YbPxJwPfrj7uswNwoF1pJ,pop
262,mi otra mitad,Emilia,2022-05-31,2Cna21irIvinVSJdGda8Om,pop
263,Lights - Sped Up Version,"Ellie Goulding, Speed Radio",2022-07-01,4TZ2Ub8bZh4LTs06eANDXa,pop
264,uh oh,Tate McRae,2022-09-30,6qmvAJSUfVGMubvI2awW7p,pop
265,Miss You,southstar,2022-07-30,4tRhRLBxIZ34Iw0eCuiC03,pop
266,Como Lo Hice Yo,"Matisse, Carin Leon",2022-05-27,6YNTL320OEMAg4ORqGYt1v,pop
267,LOVE DIVE,IVE,2022-04-05,0Q5VnK2DYzRyfqQRJuUtvi,pop
268,chaotic,Tate McRae,2022-05-27,4bt7eqP7mfWduRBKEpCAzM,pop
269,Ta Ta Ta,Bayanni,2022-08-24,3rmqNsOiGqqvFNTmGlzl4R,pop
270,Qué Agonía,"Yuridia, Ángela Aguilar",2022-10-20,5WEt9MiZPNmCbhu8GOR9Kk,pop
271,Sticky,Drake,2022-06-17,4rmVZajAF7PkrCagGPHbqa,pop
272,A Bird's Last Look,Macabre Plaza,2022-04-21,5omLpU1N0uN51OSXL62VAM,pop
273,Polaroid Love,ENHYPEN,2022-01-10,5elW2CKSoqjYoJ32AGDxf1,pop
274,QUEREME,"LOUTA, WOS",2022-06-16,0bhWW1Bve1Ng6kEm8WjiQA,pop
